,child,parent
157,ZFC3H1,912
158,911,950
159,907,910
160,NGFR,913
161,LZTS3,903
162,HELZ,905
163,KRAS,892
164,TRAPPC8,868
165,CDK13,905
166,SIPA1L1,861
167,IQGAP1,920
168,PRRC2C,849
169,AKAP5,879
170,MED13L,947
171,SETD2,853
172,RALGPS2,861
173,MAGEE1,963
174,SRI,916
175,PRDM2,962
176,882,956
177,PNISR,905
178,C20orf96,900
179,934,955
180,MSL3,870
181,SHPRH,960
182,854,931
183,UBXN7,849
184,PPFIA2,895
185,NCOA2,920
186,EYS,850
187,MAPK8IP1,945
188,CAMK2A,852
189,UHRF1BP1L,938
190,PRRC2B,934
191,ZNF644,963
192,ARTN,893
193,ZNF236,963
194,RABGAP1,962
195,917,942
196,ZDHHC8,858
197,ATF7IP,905
198,935,955
199,RBM12B,963
200,PRDM10,962
201,SPEN,947
202,RICTOR,939
203,DST,885
204,KMT2C,943
205,921,932
206,ACTB,886
207,JMJD4,856
208,SAMD5,914
209,KDM2B,856
210,SGK1,917
211,CACNA1A,852
212,PRR20E,883
213,ARID2,963
214,886,950
215,SASH1,910
216,ZDHHC2,858
217,KMT2E,898
218,EP400,901
219,EIF2C1,963
220,ERCC6L2,870
221,AFF1,963
222,NCOA3,898
223,XPO6,936
224,TNFRSF10D,963
225,MGA,959
226,947,952
227,PHC3,963
228,CASKIN1,871
229,FOXG1,922
230,KIDINS220,939
231,MYCN,926
232,RLF,948
233,PLCL2,935
234,PUM1,912
235,ADAM17,851
236,TP53BP2,963
237,953,958
238,WNK1,963
239,RC3H2,963
240,PRR23A,963
241,848,883
242,865,885
243,TMEM44,963
244,KCNQ2,895
245,SCN1A,844
246,HIST1H4A,873
247,ZNF536,894
248,913,927
249,PPIG,882
250,HDGFL1,900
251,KSR1,861
252,MFHAS1,878
253,SOS2,892
254,ANK2,863
255,ZNF638,933
256,ADNP,947
257,TANC1,903
258,BRAP,857
259,874,928
260,RARB,908
261,918,951
262,KMT5B,868
263,FRYL,905
264,SDK1,902
265,WDR82P1,908
266,CEP128,903
267,OGT,949
